,feature,importance_gain,importance_split,trn_score,run
0,age,4999.966774463654,724,0.9506382089136896,1
1,job_year,3582.908957004547,513,0.9506382089136896,1
2,frs_agn_dt_cnt,3170.8717839717865,446,0.9506382089136896,1
3,fin_rsk_ases_grd_cd,839.4096620082855,118,0.9506382089136896,1
4,confirm_rsk_ases_lvl_typ_cd,1827.8898668289185,258,0.9506382089136896,1
5,cust_inv_rsk_endu_lvl_cd,175.942449092865,30,0.9506382089136896,1
6,tot_ast_lvl_cd,1853.1457755565643,256,0.9506382089136896,1
7,pot_ast_lvl_cd,1497.4580292701721,209,0.9506382089136896,1
8,l12mon_buy_fin_mng_whl_tms,208.51522064208984,31,0.9506382089136896,1
9,l12_mon_fnd_buy_whl_tms,596.7820088863373,89,0.9506382089136896,1
10,l12_mon_insu_buy_whl_tms,0.0,0,0.9506382089136896,1
11,l12_mon_gld_buy_whl_tms,4.357079982757568,1,0.9506382089136896,1
12,ovd_30d_loan_tot_cnt,0.0,0,0.9506382089136896,1
13,his_lng_ovd_day,124.40795040130615,19,0.9506382089136896,1
14,hld_crd_card_grd_cd,1289.6448092460632,176,0.9506382089136896,1
15,cur_debit_cnt,537.9630012512207,71,0.9506382089136896,1
16,cur_credit_cnt,733.1075701713562,105,0.9506382089136896,1
17,cur_debit_min_opn_dt_cnt,7468.720762014389,1037,0.9506382089136896,1
18,cur_credit_min_opn_dt_cnt,7071.936864376068,999,0.9506382089136896,1
19,cur_debit_crd_lvl,289.98230934143066,41,0.9506382089136896,1
20,l12mon_buy_sum,0.0,0,0.9506382089136896,1
21,l12mon_buy_fin_mng_whl_tms_ratio,88.66725945472717,12,0.9506382089136896,1
22,l12_mon_fnd_buy_whl_tms_ratio,268.6166491508484,40,0.9506382089136896,1
23,l12_mon_gld_buy_whl_tms_ratio,0.0,0,0.9506382089136896,1
24,cur_debit_rate,7973.874769687653,1115,0.9506382089136896,1
25,cur_credit_rate,8462.791821956635,1184,0.9506382089136896,1
26,creditrate1,7514.458560228348,1050,0.9506382089136896,1
27,creditrate2,7714.500879526138,1067,0.9506382089136896,1
28,creditrate3,2752.6335921287537,390,0.9506382089136896,1
29,0,5349.082568407059,743,0.9506382089136896,1
30,1,5170.581078052521,735,0.9506382089136896,1
31,2,5507.93245267868,761,0.9506382089136896,1
32,3,4342.116140842438,607,0.9506382089136896,1
33,4,5875.637246370316,841,0.9506382089136896,1
34,5,5370.602376699448,739,0.9506382089136896,1
35,A_max,1587.356957435608,222,0.9506382089136896,1
36,A_min,1892.4710295200348,258,0.9506382089136896,1
37,A_median,3266.681581735611,467,0.9506382089136896,1
38,A_std,1834.4714500904083,243,0.9506382089136896,1
39,A_mean,2704.944379091263,401,0.9506382089136896,1
40,A_sum,2014.174920797348,295,0.9506382089136896,1
41,B_max,4101.992899656296,555,0.9506382089136896,1
42,B_min,4119.601545572281,572,0.9506382089136896,1
43,B_median,5513.34041929245,762,0.9506382089136896,1
44,B_std,3911.196953058243,533,0.9506382089136896,1
45,B_mean,4916.153894662857,686,0.9506382089136896,1
46,B_sum,4121.382656812668,567,0.9506382089136896,1
47,C_max,303.55732893943787,47,0.9506382089136896,1
48,C_min,581.2896189689636,99,0.9506382089136896,1
49,C_median,373.64179134368896,64,0.9506382089136896,1
50,C_std,504.2051692008972,80,0.9506382089136896,1
51,C_mean,288.0041401386261,46,0.9506382089136896,1
52,C_sum,351.88892936706543,66,0.9506382089136896,1
53,dat1_count,1938.424604177475,273,0.9506382089136896,1
54,dat1_nunique,46.59223031997681,5,0.9506382089136896,1
55,dat1_mean,3778.9358134269714,519,0.9506382089136896,1
56,dat1_modev,2080.2869329452515,291,0.9506382089136896,1
57,dat3_nunique,306.9796094894409,39,0.9506382089136896,1
58,dat3_mode,149.73954963684082,22,0.9506382089136896,1
59,dat3_modev,2645.9144189357758,355,0.9506382089136896,1
60,trx1_nunique,144.34723138809204,22,0.9506382089136896,1
61,trx1_mode,276.3426580429077,40,0.9506382089136896,1
62,trx1_modev,2162.125136613846,298,0.9506382089136896,1
63,trx2_nunique,1532.8010506629944,216,0.9506382089136896,1
64,trx2_mode,4416.680116653442,610,0.9506382089136896,1
65,trx2_modev,2200.5396699905396,297,0.9506382089136896,1
66,cny_trx_amt_min,3535.371118783951,476,0.9506382089136896,1
67,cny_trx_amt_max,2737.9313592910767,386,0.9506382089136896,1
68,cny_trx_amt_sum,5244.922114849091,729,0.9506382089136896,1
69,cny_trx_amt_positive_nunique,2721.901898622513,388,0.9506382089136896,1
70,cny_trx_amt_positive_min,6722.9511868953705,948,0.9506382089136896,1
71,cny_trx_amt_positive_mean,4932.719541311264,695,0.9506382089136896,1
72,cny_trx_amt_positive_median,6440.291756153107,908,0.9506382089136896,1
73,cny_trx_amt_positive_std,6928.444277763367,952,0.9506382089136896,1
74,cny_trx_amt_positive_sum,5273.764052867889,731,0.9506382089136896,1
75,cny_trx_amt_negative_nunique,3067.048264026642,423,0.9506382089136896,1
76,cny_trx_amt_negative_max,6054.801235675812,836,0.9506382089136896,1
77,cny_trx_amt_negative_mean,5267.769263982773,731,0.9506382089136896,1
78,cny_trx_amt_negative_median,6889.562345981598,934,0.9506382089136896,1
79,cny_trx_amt_negative_std,5896.871380329132,796,0.9506382089136896,1
80,cny_trx_amt_negative_sum,5316.009861946106,722,0.9506382089136896,1
81,week_std2,8063.464426755905,1140,0.9506382089136896,1
82,week_nunique2,735.1792502403259,107,0.9506382089136896,1
83,week_mode2,3384.656410932541,480,0.9506382089136896,1
84,week_median2,1478.3645911216736,217,0.9506382089136896,1
85,week_mean2,6389.114474773407,893,0.9506382089136896,1
